"Album","Release Year","Song"
"Anthropocentric","2010","Anthropocentric"
"Anthropocentric","2010","For He That Wavereth..."
"Anthropocentric","2010","Heaven TV"
"Anthropocentric","2010","Sewers of the Soul"
"Anthropocentric","2010","She Was the Universe"
"Anthropocentric","2010","The Almightiness Contradiction"
"Anthropocentric","2010","The Grand Inquisitor I: Karamazov Baseness"
"Anthropocentric","2010","The Grand Inquisitor II: Roots & Locusts"
"Anthropocentric","2010","The Grand Inquisitor III: A Tiny Grain of Faith"
"Anthropocentric","2010","Wille zum Untergang"
"Heliocentric","2010","Catharsis of a Heretic"
"Heliocentric","2010","Epiphany"
"Heliocentric","2010","Firmament"
"Heliocentric","2010","Metaphysics of the Hangman"
"Heliocentric","2010","Ptolemy Was Wrong"
"Heliocentric","2010","Shamayim"
"Heliocentric","2010","Swallowed by the Earth"
"Heliocentric","2010","The First Commandment of the Luminaries"
"Heliocentric","2010","The Origin of God"
"Heliocentric","2010","The Origin of Species"
"Pelagial","2013","Abyssopelagic I: Boundless Vasts"
"Pelagial","2013","Abyssopelagic II: Signals of Anxiety"
"Pelagial","2013","Bathyalpelagic I: Impasses"
"Pelagial","2013","Bathyalpelagic II: The Wish in Dreams"
"Pelagial","2013","Bathyalpelagic III: Disequilibrated"
"Pelagial","2013","Benthic: The Origin of Our Wishes"
"Pelagial","2013","Demersal: Cognitive Dissonance"
"Pelagial","2013","Epipelagic"
"Pelagial","2013","Hadopelagic I: Omen of the Deep"
"Pelagial","2013","Hadopelagic II: Let Them Believe"
"Pelagial","2013","Mesopelagic: Into the Uncanny"
